time, name, version, hash_source, binaries, binaries_size
20170101032652,bird,1.6.2-3,bf09de3f5849619dbc5f05738802fee6,"bird bird-doc bird-bgp",1732376
20170101032652,blasr,5.3-1,c201e593f9eb5d7ac067c8c839d23d73,"blasr",467892
20170101032652,bridge-utils,1.5-10,ec7b381160b340648dede58c31bb2238,"bridge-utils",33114
20170101032652,bro,2.4.1+dfsg-4,40a0f9e71d780693211c4a0311e90cec,"bro bro-common",2463084
20170101032652,c-blosc,1.11.1+ds1-3,b3180118e3633c717540e0f3a27a6ed9,"libblosc-dev libblosc1",232408
20170101032652,cairo-5c,1.9,7f97bf07dd623b1e489625c47c1aeced,"cairo-5c libcairo-5c0",84540
20170101032652,calibre,2.71.0+dfsg-1,fa72175c8145332f701616c18ca8866a,"calibre calibre-bin",23115762
20170101032652,canl-c,2.1.7-1,78e65f09bb82aaa32a8fa7fffc0d90ac,"libcanl-c2 libcanl-c-dev libcanl-c-examples libcanl-c-doc libcanl-c2-dbg libcanl-c-examples-dbg",622576
20170101032652,capstone,3.0.4-0.2,a3eb9c41507a7cdb78055bae28ab525a,"libcapstone-dev libcapstone3 python-capstone",980912
20170101032652,cdargs,1.35-10,bdaf1a381e62d28cc8fd491953db0e94,"cdargs",46072
20170101032652,cgsi-gsoap,1.3.10-1,a842414981387f7bd13813ab18e19e5f,"libcgsi-gsoap1 libcgsi-gsoap-dev libcgsi-gsoap-dbg",294116
20170101032652,check-all-the-things,2016.09.03,bc2d01f3acdb590565f6ca268483f82f,"check-all-the-things",35986
20170101032652,chef-zero,5.1.0-1,bbc9c05d13a5ddc379b4bbb5c10e639d,"chef-zero",53052
20170101032652,chkrootkit,0.50-3.2,4f38ba4391591eef34ebefb835b6965d,"chkrootkit",307968
20170101032652,chrony,2.4.1-2,eb91341a82f18d98fbef4e0b678b3d5b,"chrony",198290
20170101032652,cinder,2:9.0.0-1,13f24636107d86287f19350c9f20e528,"python-cinder cinder-common cinder-api cinder-volume cinder-scheduler cinder-backup cinder-doc",3726800
20170101032652,ckport,0.1~rc1-5,6e87614de180706de38cf30d6ef4283f,"ckport ckport-database",14740
20170101032652,clj-stacktrace-clojure,0.2.6-2,65e956ae41af929fdf7d089a088324b7,"libclj-stacktrace-clojure",10734
20170101032652,clojure1.6,1.6.0+dfsg-2,bf4407c22d8c2f0c66c93567220a4f79,"clojure1.6",3183062
20170101032652,clucene-core,2.3.3.4-4.2,dfe9123989443e6bf6ef36f3d8315fc0,"libclucene-dev libclucene-core1v5 libclucene-contribs1v5",684440
20170101032652,clucy,0.4.0-1,e2833dbe594ed1ab2502c59bf1b7eeb9,"libclucy-clojure",11804
20170101032652,clustershell,1.7.2-1,cb42b6b2e6fa020b0b7bec1aae8eeeb5,"clustershell",147386
20170101032652,code-saturne,4.3.1+repack-1,1f8e4c63d731588982a408f299547e40,"code-saturne code-saturne-bin code-saturne-data code-saturne-include code-saturne-doc",89083290
